ERI_1,ERI_2,ERI_3,ERI_4,ERI_5,ERI_6,ERI_7,ERI_8,ERI_9,ERI_10,CBI_01,CBI_02,CBI_03,CBI_04,CBI_05,CBI_06,gender,birth year,status of employment,field of work,federal state,community size,income,working_hours,age,CBI_SCORE,Burnout_Score
2,3,1,2,3,1,1,2,2,3,25,25,25,50,50,50,2,1991.0,2,2,15,1,2,50,35.0,37.5,0
3,3,2,2,3,2,1,2,3,2,0,25,25,50,25,75,2,1987.0,2,3,2,2,3,45,39.0,33.3,0
4,4,4,3,4,1,1,1,1,1,50,75,75,100,75,75,2,1981.0,2,1,2,4,3,40,45.0,75.0,1
3,2,2,4,2,2,1,3,3,2,25,25,25,50,25,50,2,1985.0,2,1,13,4,2,40,41.0,33.3,0
2,2,2,2,3,3,4,2,2,3,25,25,25,50,50,75,2,1987.0,2,1,15,4,2,30,39.0,41.7,0
3,3,2,3,3,4,4,2,2,2,0,25,25,75,75,100,2,1960.0,1,3,1,2,3,60,66.0,50.0,1
4,4,4,1,4,2,2,1,3,1,50,25,25,25,25,50,2,1987.0,2,1,14,1,1,45,39.0,33.3,0
4,3,3,2,2,2,2,1,3,3,25,25,25,50,25,75,2,1971.0,1,1,15,3,1,60,55.0,37.5,0
3,3,2,2,3,2,2,2,2,2,25,25,50,75,50,50,2,1976.0,4,13,15,2,1,10,50.0,45.8,0
2,2,3,4,2,2,2,3,2,2,50,25,75,75,75,75,2,1991.0,2,3,15,3,2,60,35.0,62.5,1
3,2,3,3,2,3,2,3,3,2,50,50,25,50,50,75,2,1966.0,1,1,4,2,2,44,60.0,50.0,1
3,4,4,1,4,4,2,1,2,1,0,25,25,25,25,75,2,1971.0,1,1,2,4,5,35,55.0,29.2,0
4,3,1,3,3,3,1,3,3,3,0,25,25,50,50,50,2,1982.0,4,3,9,1,3,55,44.0,33.3,0
3,3,3,3,2,2,1,2,3,2,75,75,75,50,75,100,2,1985.0,2,1,13,1,2,20,41.0,75.0,1
3,3,3,2,2,2,2,2,3,3,50,75,75,75,75,100,2,1975.0,2,9,3,4,3,40,51.0,75.0,1
2,2,3,4,1,2,1,4,4,3,25,50,75,100,50,75,2,1980.0,2,3,4,1,3,35,46.0,62.5,1
3,3,2,2,2,2,1,2,2,2,25,50,50,75,50,50,2,1978.0,2,2,2,2,4,50,48.0,50.0,1
2,2,3,3,1,3,1,4,3,3,50,75,75,100,75,75,2,1986.0,2,3,13,4,2,43,40.0,75.0,1
3,2,3,3,4,2,1,2,2,1,25,50,25,50,25,75,2,1987.0,2,1,15,3,2,45,39.0,41.7,0
